"","strength"
"1",122
"2",127
"3",130
"4",131
"5",132
"6",133
"7",134
"8",134
"9",135
"10",135
"11",135
"12",136
"13",137
"14",138
"15",139
"16",140
"17",143
"18",124
"19",127
"20",130
"21",132
"22",132
"23",133
"24",134
"25",134
"26",135
"27",135
"28",136
"29",136
"30",137
"31",138
"32",139
"33",140
"34",143
"35",124
"36",128
"37",131
"38",132
"39",133
"40",133
"41",134
"42",134
"43",135
"44",135
"45",136
"46",136
"47",137
"48",138
"49",139
"50",141
"51",143
"52",125
"53",128
"54",131
"55",132
"56",133
"57",133
"58",134
"59",134
"60",135
"61",135
"62",136
"63",136
"64",137
"65",138
"66",139
"67",141
"68",143
"69",126
"70",129
"71",131
"72",132
"73",133
"74",133
"75",134
"76",134
"77",135
"78",135
"79",136
"80",137
"81",137
"82",138
"83",139
"84",141
"85",144
"86",126
"87",129
"88",131
"89",132
"90",133
"91",133
"92",134
"93",134
"94",135
"95",135
"96",136
"97",137
"98",138
"99",138
"100",140
"101",141
"102",144
"103",126
"104",129
"105",131
"106",132
"107",133
"108",133
"109",134
"110",134
"111",135
"112",135
"113",136
"114",137
"115",138
"116",138
"117",140
"118",142
"119",144
"120",127
"121",129
"122",131
"123",132
"124",133
"125",133
"126",134
"127",134
"128",135
"129",135
"130",136
"131",137
"132",138
"133",138
"134",140
"135",143
"136",147
"137",127
"138",130
"139",131
"140",132
"141",133
"142",134
"143",134
"144",135
"145",135
"146",135
"147",136
"148",137
"149",138
"150",139
"151",140
"152",143
"153",147
